brand,name,current_price,former_price
Ray-Ban,RB5154 Clubmaster,$155.40,$222
Oakley,Airdrop,$158.90,$227
Ray-Ban,RB7047,$123.20,$176
Ray-Ban,RB3547V Oval,$147,$210
Oakley,Socket 5.5,$158.90,$227
Ray-Ban,RB5387,$123.20,$176
Oakley,Overhead,$120.40,$172
Oakley,Neoastra,$145.60,$208
Oakley,Thinboard,$120.40,$172
Oakley,Metal Plate,$242.20,$346
Gucci,GG0011O,$391,$460
Versace,VE1274,$221.20,$316
Persol,PO3275V,$243.60,$348
Kate Spade,Lucyann,$161,$230
XXL,Egret,$107.44,$214.88
Versace,VE1288,$149,$298
Dolce & Gabbana,DG1347,$158,$316
Burberry,BE1392,$294.70,$421
FramesDirect Collection,V63027,$73,
Persol,PO3343V,$254.10,$363
RALPH by Ralph Lauren,RA7158U,$98.70,$141
Tiffany & Co.,TF2292F,$278.60,$398
Polo,PH2083,$140.70,$201
Ray-Ban,RB5397 - Elliot Optics,$147,$210
