Product_Name,Brand,Former_Price,Current_Price
DG3404,Dolce & Gabbana,$ 422.00,$ 295.40
MK3068 Portland,Michael Kors,$ 175.00,$ 87.50
PH2283U,Polo Ralph Lauren,$ 237.00,$ 165.90
VE1302,Versace,$ 526.00,$ 368.20
RB7021 Matthew,Ray-Ban,$ 176.00,$ 88.00
VO5615,Vogue Eyewear,$ 128.00,$ 89.60
JC3025,Jimmy Choo,$ 287.00,$ 200.90
FZ8020U,Scuderia Ferrari,$ 191.00,$ 133.70
PH2251U,Polo Ralph Lauren,$ 183.00,$ 91.50
JB2005 Kids,Burberry,$ 138.00,$ 96.60
DG3392,Dolce & Gabbana,$ 364.00,$ 254.80
OY8012 Top Level (Youth Fit) Discover Collection,Oakley,$ 123.00,$ 61.50
AX1066,Armani Exchange,$ 138.00,$ 69.00
VE3354,Versace,$ 406.00,$ 284.20
VO4208,Vogue Eyewear,$ 158.00,$ 79.00
EA3238U,Emporio Armani,$ 196.00,$ 137.20
FZ7007,Scuderia Ferrari,$ 191.00,$ 133.70
JC3012,Jimmy Choo,$ 287.00,$ 200.90
DG3363,Dolce & Gabbana,$ 306.00,$ 214.20
SK1014,Swarovski,$ 252.00,$ 176.40
VY2019,Vogue Eyewear,$ 81.00,$ 56.70
TF2244,Tiffany,$ 439.00,$ 307.30
DG3387,Dolce & Gabbana,$ 364.00,$ 254.80
SK2025,Swarovski,$ 228.00,$ 159.60
TF2231,Tiffany,$ 350.00,$ 175.00
VE3372U,Versace,$ 376.00,$ 263.20
